id,answer_type,string,keywords
369,date,When was the Operation Purple Haze?,Operation Purple Haze
370,resource,Where did Queen Emma of Hawaii  die?,"Queen Emma of Hawaii , die"
371,resource,Where is the Sandhammaren located?,"Sandhammaren, located"
372,resource,Which airports are located in Chios?,"airports, located, Chios"
373,resource,Which artist made the album Old School Prankstas?,"artist, made, album, Old School Prankstas"
374,resource,Which books were published by DAW Books?,"books, published, DAW Books"
375,resource,Which bridges cross the Prut?,"bridges, cross, Prut"
376,resource,Which instruments does Courtney Love play?,"instruments, Courtney Love, play"
377,resource,Which languages are spoken in Romania?,"languages, spoken, Romania"
378,resource,Which museum exhibits The Skater?,"museum, exhibits, The Skater"
379,resource,Which music albums contain the song Into Your Arms?,"music albums, contain, song, Into Your Arms"
380,resource,Which organizations were founded in 1918?,"organizations, founded, 1918"
381,resource,Which presidents were born in 1891?,"presidents, born, 1891"
382,resource,Which professional surfers were born in Australia?,"professional surfers, born, Australia"
383,resource,Who created Retrocrush?,"created, Retrocrush"
384,resource,Who created Miss Marple?,"created, Miss Marple"
385,resource,Who created the comic Old Man Logan?,"created, comic, Old Man Logan"
386,resource,Who designed the Langebro?,"designed, Langebro"
387,resource,Who developed Quake engine?,"developed, Quake engine"
388,resource,Who developed the video game Duke Nukem 3D?,"developed, video game, Duke Nukem 3D"
389,resource,Who founded Sony?,"founded, Sony"
390,resource,Who is the editor of Semana?,"editor, Semana"
391,resource,Who is the founder of DC Comics?,"founder, DC Comics"
392,resource,Who is the heaviest player of the ASK Riga?,"heaviest, player, ASK Riga"
393,resource,Who is the manager of Gazelle FC?,"manager, Gazelle FC"
394,resource,Who is the mayor of Virar?,"mayor, Virar"
395,resource,Who is the mayor of the capital of New Caledonia?,"mayor, capital, New Caledonia"
396,resource,Who is the owner of Mazda?,"owner, Mazda"
397,resource,Who is the tallest player of Udinese Calcio?,"tallest, player, Udinese Calcio"
398,resource,Who is the youngest Snooker player?,"youngest, Snooker player"
399,resource,Who painted Unfinished portrait of General Bonaparte?,"painted, Unfinished portrait of General Bonaparte"
400,resource,Who produces Red Bull?,"produces, Red Bull"
401,resource,Who were the parents of Maria of Antioch?,"parents, Maria of Antioch"
402,resource,Who wrote the book Leave It to Psmith?,"wrote, book, Leave It to Psmith"
403,date,When was the Battle of Gettysburg?,Battle of Gettysburg
404,resource,List all the musicals with music by Elton John.,"musicals, music by, Elton John"
405,number,How high is the lighthouse in Colombo?,"high, lighthouse in Colombo"
406,resource,Who was the wife of U.S. president Lincoln?,"U.S. president, Lincoln, wife"
407,resource,Who is the host of the BBC Wildlife Specials?,"host, BBC Wildlife Specials"
408,number,How much did Pulp Fiction cost?,"cost, Pulp Fiction"
409,resource,In what city is the Heineken brewery?,"city, Heineken brewery"
410,date,When did Operation Overlord commence?,"when, Operation Overlord, commence"
411,resource,In which city does the Chile Route 68 end?,"city, Chile Route 68, ends"
412,resource,Who developed Slack?,"developer, Slack"
413,resource,Who was married to president Chirac?,"married to, president Chirac"
414,resource,What did Bruce Carver die from?,"Bruce Carver, die"
415,resource,Who painted The Storm on the Sea of Galilee?,"The Storm on the Sea of Galilee, paint"
416,resource,Which cities does the Weser flow through?,"Weser, flow through, city"
417,resource,How many seats does the home stadium of FC Porto have?,"How many seats, stadium of FC Porto"
418,resource,Who is the daughter of Robert Kennedy married to?,"Robert Kennedy, daughter, married"
419,resource,Which books by Kerouac were published by Viking Press?,"book, Kerouac, publish, Viking Press"
420,number,How tall is Amazon Eve?,"Amazon Eve, tall"
421,resource,Which museum exhibits The Scream by Munch?,"museum, Scream, Munch"
422,resource,Who wrote the book Les Piliers de la terre?,"wrote, book, The pillars of the Earth"
423,boolean,Is James Bond married?,"James Bond, married"
424,resource,Who discovered Ceres?,"discoverer, Ceres"
425,resource,Which river does the Brooklyn Bridge cross?,"river, cross, Brooklyn Bridge"
426,resource,Who was called Frank The Tank?,"called, Frank The Tank"
427,resource,What is the largest country in the world?,"largest country, world"
428,resource,Who is the mayor of Paris?,"mayor, Paris"
429,resource,Who is the coach of Ankara's ice hockey team?,"coach, ice hockey team, Ankara"
430,resource,Who is the mayor of the capital of French Polynesia?,"mayor, capital, French Polynesia"
431,resource,Which awards did Douglas Hofstadter win?,"Douglas Hofstadter, award"
432,string,How much did the Lego Movie cost?,"Lego Movie, cost"
433,resource,Where does Piccadilly start?,"Piccadilly, start"
434,boolean,Do Prince Harry and Prince William have the same parents?,"Prince Harry, Prince William, same, parents"
435,resource,Who played Agent Smith in Matrix?,"played, Agent Smith, Matrix"
436,number,How many languages are spoken in Turkmenistan?,"languages, Turkmenistan"
437,resource,In which films did Julia Roberts as well as Richard Gere play?,"film, play, Julia Roberts, Richard Gere"
438,resource,In which country does the Ganges start?,"Ganges, start, country"
439,date,In which year was Rachel Stevens born?,"year, born, Rachel Stevens"
440,boolean,Is Barack Obama a democrat?,"Barack Obama, democrat"
441,resource,Where was Bach born?,"birthplace, Bach"
442,number,How often did Jane Fonda marry?,"Jane Fonda, marry, how often"
443,resource,Who was the first to climb Mount Everest?,"first, climb, mount Everest"
444,number,How many people live in Poland?,"How many people, Poland"
445,resource,What is the location of the Houses of Parliament?,"location, Houses of Parliament"
446,boolean,Is Christian Bale starring in Batman Begins?,"Christian Bale, starring, Batman Begins"
447,resource,In which country is the Limerick Lake?,"Limerick Lake, country"
448,resource,What was the last movie with Alec Guinness?,"Alec Guinness, last, movie"
449,resource,What is the highest mountain in Australia?,"Australia, highest mountain"
450,boolean,Is Frank Herbert still alive?,"Frank Herbert, alive"
451,resource,Who created Family Guy?,"create, Family Guy"
452,resource,What is the official language of Suriname?,"Suriname, official language"
453,resource,Who wrote the song Hotel California?,"write, song, Hotel California"
454,resource,Give me all actors starring in movies directed by William Shatner.,"actor, starring, movie, direct, William Shatner"
455,resource,What is in a chocolate chip cookie?,"ingredients, chocolate chip cookie"
456,resource,Give me all professional skateboarders from Sweden.,"professional, skateboarder, Sweden"
457,resource,Which ingredients do I need for carrot cake?,"carrot cake, ingredients"
458,resource,Does Neymar play for Real Madrid?,"Neymar, play, Real Madrid"
459,resource,Which computer scientist won an oscar?,"computer scientist, win, oscar"
460,number,How many companies were founded in the same year as Google?,"companies, founded, same year, Google"
461,resource,In which UK city are the headquarters of the MI6?,"MI6, headquarters, city, UK"
462,boolean,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,"Cuban Missile Crisis, earlier, Bay of Pigs Invasion"
463,resource,What does IYCM stand for?,"IYCM, stand for"
464,date,When did the Ming dynasty dissolve?,"dissolve, Ming dynasty"
465,resource,List all episodes of the first season of the HBO television series The Sopranos!,"HBO, television series, Sopranos, first season, episode"
466,number,"What is the total population of Melbourne, Florida?","total population, Melbourne Florida"
467,boolean,Did Arnold Schwarzenegger attend a university?,"Arnold Schwarzenegger, attend, university"
468,resource,What country is Mount Everest in?,"country, Mount Everest"
469,resource,What is the largest city in Australia?,"Australia, largest city"
470,resource,Give me all launch pads operated by NASA.,"launch pad, operate, NASA"
471,resource,Who is the mayor of Tel Aviv?,"Tel Aviv, mayor"
472,resource,List all episodes of the first season of the HBO television series The Sopranos.,"HBO, television series, Sopranos, first season, episode"
473,resource,Who created Batman?,"Batman, creator"
474,resource,Who played Gus Fring in Breaking Bad?,"play, Gus Fring, Breaking Bad"
475,resource,In which programming language is GIMP written?,"GIMP, programming language"
476,resource,In which ancient empire could you pay with cocoa beans?,"ancient empire, pay, cocoa beans"
477,resource,Who is the editor of Forbes?,"Forbes, editor"
478,number,How many people live in the capital of Australia?,"Australia, capital, people, live"
479,resource,Which professional surfers were born in Australia?,"professional surfer, born, Australia"
480,resource,Which electronics companies were founded in Beijing?,"electronics companies, founded, Beijing"
481,resource,Give me all video games published by Mean Hamster Software.,"video game, publish, Mean Hamster Software"
482,number,How many Aldi stores are there?,"own, Aldi"
483,resource,What is the capital of Cameroon?,"capital, Cameroon"
484,boolean,Is there a video game called Battle Chess?,"video game, Battle Chess"
485,boolean,Was the wife of president Lincoln called Mary?,"Lincoln, president, wife, called, Mary"
486,resource,Give me all movies directed by Francis Ford Coppola.,"movie, direct, Francis Ford Coppola"
487,resource,Which of Tim Burton's films had the highest budget?,"highest budget, film, Tim Burton"
488,boolean,Does Breaking Bad have more episodes than Game of Thrones?,"Breaking Bad, episodes, more than, Game of Thrones"
489,resource,Who was called Rodzilla?,"called, Rodzilla"
490,boolean,Was Natalie Portman born in the United States?,"Natalie Portman, born, United States"
491,resource,Give me the grandchildren of Elvis Presley.,"Elvis Presley, grandchildren"
492,resource,Which movies starring Mickey Rourke were directed by Guy Ritchie?,"movies, starring, Mickey Rourke, directed, Guy Ritchie"
493,resource,When did Dracula's creator die?,"Dracula, creator, die"
494,resource,Which country does the creator of Miffy come from?,"Miffy, creator, country"
495,string,What is Batman's real name?,"real name, Batman"
496,resource,What form of government does Russia have?,"form of government, Russia"
497,number,How many companies were founded by the founder of Facebook?,"companies, founded by, founder, Facebook"
498,resource,Give me all Canadian Grunge record labels.,"record label, Canadian, Grunge"
499,number,How many children did Benjamin Franklin have?,"Benjamin Franklin, child"
500,resource,List the children of Margaret Thatcher.,"Margaret Thatcher, child"
501,resource,From which region is the Melon de Bourgogne?,"region, Melon de Bourgogne"
502,resource,Who is the oldest child of Meryl Streep?,"oldest child, Meryl Streep"
503,boolean,Are tree frogs a type of amphibian?,"tree frog, amphibian"
504,boolean,Is Christian Bale starring in Velvet Goldmine?,"Christian Bale, starring, Velvet Goldmine"
505,resource,List all games by GMT.,"game, GMT"
506,boolean,Does the Isar flow into a lake?,"Isar, flow, lake"
507,resource,Which airports does Yeti Airlines serve?,"airports, Yeti Airlines"
508,resource,Which Indian company has the most employees?,"Indian company, the most employees"
509,resource,What color expresses loyalty?,"color, express, loyalty"
510,resource,Which city has the most inhabitants?,"city, the most inhabitants"
511,resource,Who created Wikipedia?,"Wikipedia, created"
512,boolean,Is Rita Wilson the wife of Tom Hanks?,"Rita Wilson, wife, Tom Hanks"
513,boolean,Is the wife of president Obama called Michelle?,"Obama, president, wife, called, Michelle"
514,number,How many ethnic groups live in Slovenia?,"how many, ethnic groups, Slovenia"
515,resource,Who is the president of Eritrea?,"president, Eritrea"
516,resource,Which films did Stanley Kubrick direct?,"film, Stanley Kubrick, direct"
517,date,When was the Titanic completed?,"Titanic, completion date"
518,resource,How many pages does War and Peace have?,"how many, pages, War and Peace"
519,resource,Who is the youngest player in the Premier League?,"player, Premier League, youngest"
520,resource,What is the highest mountain in Italy?,"highest, mountain, Italy"
521,number,How tall is Claudia Schiffer?,"Claudia Schiffer, tall"
522,resource,Who was John F. Kennedy's vice president?,"John F. Kennedy, vice president"
523,resource,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,"subsidiary, Lufthansa, serve, Dortmund, Berlin Tegel"
524,resource,Who was the successor of John F. Kennedy?,"John F. Kennedy, successor"
525,resource,Who composed the soundtrack for Cameron's Titanic?,"compose, soundtrack, Cameron's Titanic"
526,resource,Which movies did Kurosawa direct?,"film, direct, Kurosawa"
527,resource,For which label did Elvis record his first album?,"Elvis, first, album, label"
528,resource,In which time zone is Rome?,"time zone, Rome"
529,resource,Give me the currency of China.,"currency, China"
530,resource,Who are the developers of DBpedia?,"developers, DBpedia"
531,boolean,Does Abraham Lincoln's death place have a website?,"Abraham Lincoln, death place, website"
532,resource,Who is the king of the Netherlands?,"king, the Netherlands"
533,resource,In which city did Nikos Kazantzakis die?,"city, Nikos Kazantzakis, die"
534,resource,Who was the father of Queen Elizabeth II?,"father, Queen Elizabeth II"
535,resource,Give me a list of all critically endangered birds.,"list, critically endangered birds"
536,number,How many inhabitants does the largest city in Canada have?,"inhabitants, largest city, Canada"
537,resource,In which military conflicts did Lawrence of Arabia participate?,"Lawrence of Arabia, military conflict"
538,resource,Which book has the most pages?,"book, the most pages"
539,resource,In which country does the Nile start?,"Nile, start, country"
540,resource,Who is the Formula 1 race driver with the most races?,"Formula 1, race driver, races, most"
541,resource,Which companies produce hovercrafts?,"companies, produce, hovercrafts"
542,boolean,Did Elvis Presley have children?,"Elvis Presley, children"
543,resource,In which city was the president of Montenegro born?,"city, born, president of Montenegro"
544,resource,Which country was Bill Gates born in?,"country, born, Bill Gates"
545,resource,In which countries do people speak Japanese?,"which countries, speak, Japanese"
546,resource,Show me the book that Muhammad Ali wrote.,"book, wrote, Muhammad Ali"
547,boolean,Is Michelle Obama the wife of Barack Obama?,"Michelle Obama, wife, Barack Obama"
548,number,What is the area code of Berlin?,"Berlin, area code"
549,resource,Give me all actors starring in Last Action Hero.,"actor, starring, Last Action Hero"
550,string,What are the nicknames of San Francisco?,"San Francisco, nickname"
551,resource,What was the first Queen album?,"first album, Queen"
552,resource,Through which countries does the Yenisei river flow?,"Yenisei river, flow through, country"
553,resource,Which television shows were created by Walt Disney?,"television show, create, Walt Disney"
554,resource,What is the bridge with the longest span?,"bridge, longest span"
555,resource,What country is Sitecore from?,"country, Sitecore"
556,resource,Whom did Lance Bass marry?,"wife, Lance Bass"
557,resource,What is the capital of Canada?,"capital, Canada"
558,resource,Who was Vincent van Gogh inspired by?,"person, inspiring, Vincent van Gogh"
559,resource,In which city did John F. Kennedy die?,"city, John F. Kennedy, die"
560,boolean,Was U.S. president Jackson involved in a war?,"U.S. president, Jackson, war"
561,resource,Who wrote the Game of Thrones theme?,"writer, Game of Thrones"
562,resource,Who designed the Brooklyn Bridge?,"Brooklyn Bridge, design"
563,date,When did Boris Becker end his active career?,"Boris Becker, end career"
564,resource,Which types of grapes grow in Oregon?,"grape types, grow, Oregon"
565,number,How tall is Michael Jordan?,"tall, Michael Jordan"
566,resource,To which party does the mayor of Paris belong?,"party, mayor, Paris, belong"
567,resource,Who wrote the book The Pillars of the Earth?,"wrote, book, The pillars of the Earth"
568,resource,Who was the 16th president of the United States?,"United States, 16th president"
569,number,How high is the Mount Everest?,"Mount Everest, high"
570,resource,Who was the doctoral supervisor of Albert Einstein?,"doctoral supervisor, Albert Einstein"
571,resource,In which city does Sylvester Stallone live?,"city, live, Sylvester Stallone"
572,resource,What is the currency of the Czech Republic?,"Czech republic, currency"
573,boolean,Did Socrates influence Aristotle?,"Socrates, influence, Aristotle"
574,resource,What is the time zone of Salt Lake City?,"Salt Lake City, time zone"
575,resource,Who is the son of Sonny and Cher?,"son, Sonny and Cher"
576,resource,In which city are the headquarters of the United Nations?,"city, headquarters of the United Nations"
577,resource,Who is the founder of Penguin Books?,"founder, Penguin Books"
578,date,When was Jack Wolfskin founded?,"Jack Wolfskin, founded"
579,resource,Who is the mayor of Rotterdam?,"mayor, Rotterdam"
580,resource,Give me all Swedish oceanographers.,"Swedish, oceanographer"
581,resource,Show me Hemingway's autobiography.,"autobiography, Hemingway"
582,resource,Who are the parents of the wife of Juan Carlos I?,"Juan Carlos I, wife, parents"
583,boolean,Did Tesla win a nobel prize in physics?,"Tesla, nobel prize, physics"
584,resource,Who is the tallest basketball player?,"tallest, basketball player"
585,resource,Which city has the least inhabitants?,"city, the least inhabitants"
586,boolean,Is proinsulin a protein?,"proinsulin, protein"
587,resource,Who were the parents of Queen Victoria?,"parents, Queen Victoria"
588,boolean,Did Che Guevara have children?,"children, Che Guevara"
589,boolean,Is Lake Baikal bigger than the Great Bear Lake?,"Lake Baikal, bigger than, Great Bear Lake"
590,boolean,Did Kaurismäki ever win the Grand Prix at Cannes?,"Kaurismäki, winner, Grand Prix at Cannes"
591,resource,Give me all books by William Goldman with more than 300 pages.,"book, William Goldman, pages, more than 300"
592,resource,Where is Fort Knox located?,"Fort Knox, located"
593,resource,In which U.S. state is Fort Knox located?,"Fort Knox, located, U.S. state"
594,resource,Where is Syngman Rhee buried?,"where, Syngman Rhee, buried"
595,resource,What is the timezone in San Pedro de Atacama?,"timezone, San Pedro de Atacama"
596,resource,To which artistic movement did the painter of The Three Dancers belong?,"artistic movement, painter, The Three Dancers"
597,resource,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,"scientist, known for, Manhattan Project, Nobel Peace Prize"
598,resource,Show me all books in Asimov's Foundation series.,"books, Asimov, Foundation series"
599,resource,Give me all cities in New Jersey with more than 100000 inhabitants.,"New Jersey, city, inhabitants, more than 100000"
600,resource,Which museum in New York has the most visitors?,"museum, New York, the most visitors"
601,number,How high is the Yokohama Marine Tower?,"high, Yokohama Marine Tower"
602,boolean,Does the new Battlestar Galactica series have more episodes than the old one?,"new BattleStar Galactica series, episodes, more, old Battle Star Galactica series"
603,resource,Who is the youngest Darts player?,"Darts player, youngest"
604,resource,Who developed the video game World of Warcraft?,"video game, World of Warcraft, develop"
605,resource,Who was the pope that founded the Vatican Television?,"pope, founded, Vatican Television"
606,resource,Who composed the music for Harold and Maude?,"Harold and Maude, compose, music"
607,resource,Give me all members of Prodigy.,"member, Prodigy"
608,resource,Who is starring in Spanish movies produced by Benicio del Toro?,"starring, Spanish movies, produced, Benicio del Toro"
609,resource,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,"subsidiary, TUI Travel, serve, Glasgow, Dublin"
610,resource,In which country is Mecca located?,"country, located, Mecca"
611,number,How many languages are spoken in Colombia?,"languages, Colombia"
612,resource,What is the biggest stadium in Spain?,"biggest stadium, Spain"
613,resource,Which professional surfers were born on the Philippines?,"professional surfer, born, Philippines"
614,resource,What are the five boroughs of New York?,"five boroughs, New York"
615,boolean,Is Cola a beverage?,"Cola, beverage"
616,date,When did princess Diana die?,"date, princess Diana, died"
617,resource,Where in France is sparkling wine produced?,"produced, France, sparkling wine"
